"","STATE","Phy_env","Leng_ife_1","Qual_ife_1"
"0","28",-0.01,0.15,0.16
"1","28",0,0.29,0.1
"2","28",-0.01,0.84,0.91
"3","28",0.01,-0.05,0.4
"4","28",-0.03,-0.02,0.3
"5","28",-0.09,0.18,-0.08
"6","28",-0.04,-0.58,-0.4
"7","28",-0.07,0.38,0.37
"8","28",0.02,0.06,0.29
"9","28",0.03,0.74,0.21
"10","28",-0.04,0.84,0.51
"11","28",-0.05,-0.62,0.07
"12","28",-0.01,-1.19,-0.91
"13","28",0.02,-0.43,-1.09
"14","28",-0.03,0.41,0.36
"15","28",0.03,0.07,0.54
"16","28",-0.01,0.69,0.47
"17","28",0.01,-0.78,0.27
"18","28",-0.05,-0.5,-0.46
"19","28",0.05,-0.08,0.05
"20","28",-0.02,-0.77,-0.53
"21","28",-0.03,0.37,0.17
"22","28",-0.02,0.24,-0.08
"23","28",-0.04,-0.51,-0.49
"24","28",0.03,-0.47,0.14
"25","28",-0.02,0.24,-0.13
"26","28",0,-0.35,-0.67
"27","28",-0.07,0.56,0.21
"28","28",0.02,0.36,0.36
"29","28",-0.01,-0.91,-0.19
"30","28",-0.01,0.11,0.38
"31","28",-0.07,0.85,0.19
"32","28",0.02,0.62,-0.02
"33","28",-0.05,-0.77,-0.42
"34","28",0.01,-0.66,-1.12
"35","28",0.01,-0.53,-1.02
"36","28",-0.04,0.17,-0.44
"37","28",0.03,0.16,-0.21
"38","28",0.03,0.16,0
"39","28",-0.02,-1.13,-0.47
"40","28",-0.04,0.12,-0.27
"41","28",0.05,0,-0.84
"42","28",0.05,-0.89,0.07
"43","28",-0.01,0.01,-0.22
"44","28",-0.02,0.7,-0.49
"45","28",-0.05,0.8,0.66
"46","28",0.04,0.02,-0.04
"47","28",0,0.04,0.12
"48","28",-0.02,0.83,0.75
"49","28",0.01,0.17,0
"50","28",0.02,-0.26,0.16
"51","28",-0.03,0.2,-0.23
"52","28",-0.04,-0.19,0.12
"53","28",-0.04,0.02,-0.98
"54","28",0.01,-0.01,-0.05
"55","28",0.02,0.32,0.45
"56","28",0.04,-0.43,-0.21
"57","28",-0.01,0.01,-0.06
"58","28",-0.02,-0.17,-0.19
"59","28",0.03,-0.97,-1.07
"60","28",-0.05,0.19,0.22
"61","28",0.04,-0.32,0.05
"62","28",-0.04,-0.42,-0.55
"63","28",0.05,0.14,0.16
"64","28",0.04,-0.13,-0.39
"65","28",0.02,0.15,0.1
"66","28",0.01,-0.17,0.11
"67","28",0.05,0.31,0.66
"68","28",-0.02,0.04,0.13
"69","28",0.03,-0.93,-0.06
"70","28",-0.06,0.06,0.17
"71","28",0.04,0.86,0.69
"72","28",0.1,-0.16,-0.15
"73","28",0.05,0.08,0.16
"74","28",0.11,-0.38,-0.22
"75","28",0.11,0.57,-0.04
"76","28",0.01,0,0.53
"77","28",0.03,0.1,0.67
"78","28",0.03,0.13,0.65
"79","28",0,0.5,0.61
"80","28",-0.03,0.31,0.44
"81","28",0.01,0.6,0.67
